DEPTH,CALS,DEVI,DRHO,FC13,FC24,FCAL,TENS,HTEN,MRES,MTEM,NPHI,LLD,LLS,SPED,PEF,MSFL,SP,GR,RHOB,DT
1719.9692,12.66909679,40.75776745,-0.01466724,11.9350618,12.81352375,12.3742926,3664.540307,1586.760024,0.048833101,68.08565642,0.18686083,-3,2.222445936,634.8702932,4.698056278,-1,79.25533493,29.11369989,2.449075612,73.39743545
1720.1216,12.4412,40.5819,-0.01466724,12.1604,12.148,12.1542,3257.998,1442.777,0.048833101,61.451,0.339,-3,2.222445936,690.1024,4.698056278,-1,43.5947,14.5828,2.449075612,59.408
1720.274,12.4412,40.5789,-0.01466724,12.1571,12.1612,12.1591,3260.952,1448.106,0.048833101,61.4818,0.3571,-3,2.222445936,686.4233,4.698056278,-1,43.6571,14.7822,2.449075612,59.2805
1720.4264,12.4412,40.5762,-0.01466724,12.1609,12.189,12.175,3270.889,1452.003,0.048833101,61.4866,0.3801,-3,2.222445936,688.9399,4.698056278,-1,43.9068,15.1321,2.449075612,60.4676
1720.5788,12.4412,40.5706,-0.01466724,12.1764,12.1909,12.1836,3277.603,1458.933,0.048833101,61.5133,0.396,-3,2.222445936,688.9399,4.698056278,-1,44.119,15.6936,2.449075612,55.1954
1720.7312,12.4412,40.5668,-0.01466724,12.1858,12.1557,12.1707,3272.769,1463.914,0.048833101,61.5118,0.3567,-3,2.222445936,684.53,4.698056278,-1,44.3687,15.863,2.449075612,55.6886
1720.8836,12.4412,40.5612,-0.01466724,12.1893,12.133,12.1612,3269.814,1461.318,0.048833101,61.532,0.3424,-3,2.222445936,687.3459,4.698056278,-1,44.556,16.3304,2.449075612,55.95
1721.036,12.4412,40.5561,-0.01466724,12.1791,12.1007,12.1399,3268.472,1461.846,0.048833101,61.5159,0.3639,-3,2.222445936,689.588,4.698056278,-1,44.893,16.241,2.449075612,56.1686
1721.1884,12.4412,40.5525,-0.01466724,12.172,12.1069,12.1394,3275.723,1464.035,0.048833101,61.5013,0.3803,-3,2.222445936,686.6497,4.698056278,-1,45.33,16.1845,2.449075612,55.7252
1721.3408,12.4412,40.5498,-0.01466724,12.1674,12.1093,12.1384,3287.271,1470.583,0.048833101,61.4914,0.364,-3,2.222445936,686.6497,4.698056278,-1,45.7669,16.8059,2.449075612,56.907
1721.4932,12.4412,40.552,-0.01466724,12.1685,12.1429,12.1557,3288.882,1473.333,0.048833101,61.475,0.3381,-3,2.222445936,687.1701,4.698056278,-1,46.0416,16.0014,2.449075612,55.8461
1721.6456,12.4419,40.5548,-0.01466724,12.1714,12.1696,12.1705,3280.557,1465.707,0.048833101,61.4865,0.3433,-3,2.222445936,686.9791,4.698056278,-1,46.3912,15.0137,2.449075612,55.701
1721.798,12.4511,40.5404,-0.01466724,12.1731,12.1936,12.1833,3280.825,1470.607,0.048833101,61.4796,0.3528,-3,2.222445936,688.7313,4.698056278,-1,46.6159,14.9243,2.449075612,55.8476
1721.9504,12.4605,40.5328,-0.01466724,12.1685,12.1945,12.1815,3284.048,1474.884,0.048833101,61.492,0.3581,-3,2.222445936,686.4061,4.698056278,-1,46.6658,15.1162,2.449075612,56.0066
1722.1028,12.4699,40.5315,-0.01466724,12.1573,12.1956,12.1764,3282.437,1479.686,0.048833101,61.4897,0.35,-3,2.222445936,686.4061,4.698056278,-1,46.9405,14.8524,2.449075612,55.7957
1722.2552,12.4793,40.5308,-0.01466724,12.1551,12.1968,12.176,3278.677,1475.233,0.048833101,61.4742,0.3625,-3,2.222445936,684.8437,4.698056278,-1,47.34,14.6016,2.449075612,55.7524
